line,isMetaphor
விழியில் விழுந்து இதயம் நுழைந்து,0
இரவும் பகலும் உரசிக் கொள்ளும்,0
அந்திப் பொழுதினில் வந்துவிடு,0
உன் வெள்ளிக் கொலுசொலியை,0
நீ மல்லிகைப் பூவை சூடிக் கொண்டால்,0
நீ பட்டுப் புடவை கட்டிக் கொண்டால்,0
கல்வி கற்க காலை செல்ல,0
அண்ணன் ஆணையிட்டான்,0
அந்திப் பொழுதின் போது,0
அலையின் கரையில் காத்திருப்பேன்,0
எனக்கு மட்டும் சொந்தம் உனது,0
இதழ் கொடுக்கும் முத்தம்,0
உனக்கு மட்டும் கேட்கும் எனது,0
ஆயிரம் தாமரை மொட்டுகளே,0
இங்கிரண்டு ஜாதி மல்லிகை,0
புல்வெளியின் மீது ரெண்டு பூ மாலை,1
ஓம் சதபானம் பவதி சதாயொப் புருஷ ஷதேந்த்ரியா,0
காதல் ஓவியம் பாடும் காவியம்,1
தேடினேன் ஓ என் ஜீவனே,0
நீ என் நாயகன் காதல் பாடகன்,0
தாங்குமோ ஓ என் தேகமே,0
மோகம் தீரவே வா என் அருகிலே,0
கிளியே கிளியே மணி மேகத்தோப்பில்,1
ஒரு மலர் நுள்ளான் போகும் அழகின் அழகே,0
உயரங்களோடு பழ நாடுகள் தேடி,0
பாழாழி பால் கோரி சிந்தூரப்பூ தூக்கி,0
மினிமோல் தன் சகி ஆவான்,0
நின்னைப்போல் தாலத்து தத்தம்மா குஞ்சொன்னு,1
இன்று காலை நானே பார்த்தேனே,0
நீ வந்தால் போதும் நிம்மதி,0
என் கண்களில் நடமாடி வா,0
யார் இல்லை என்று சொன்னது,0
நீ மலர்ந்ததும் நான் வளர்ந்ததும்,0
உன் உறவினில் என் மனதினில்,0
என் நெஞ்சிலே ராகங்கள் ஆயிரம்,0
உன் கூந்தலில் பூச்சூடும் பூ இது,0
தேன் சுவைதனை பூ மலர்ந்தனை,0
யார் பிரித்தினும் வெண் நிலவினை,0
ஒன்றில் ஒன்றாய் உண்டான சொந்தங்கள்,0
நெஞ்சுக்குள்ளே உண்டாகும் பந்தங்கள்,0
மயங்குதே உன்னிடம்,0
காணாத கனி கோலம் நீ காண வேண்டும்,0
கனிவான அடையாளம் நீ போட வேண்டும்,0
இசை முழங்கும் போது இணை அதற்கு ஏது,0
ஏய் மயங்குதே உன்னிடம்,0
கட்டிலறை நாடகத்தில்,0
ஒத்திகையும் பார்த்ததில்லை,0
ஏதோ ஒரு சுகம் உள்ளூர,0
போதும் இது போதும் என்று பூவை,0
நான் சொல்லும் வரைவேண்டும் அது வேண்டும் என்று,0
